name	x	y	z	size
A06	-65.3471832275391	-23.0255832672119	-19.3003921508789	0
B06	-66.1225204467773	-43.2733154296875	-6.11679315567017	0
C06	-65.0317687988281	-45.399055480957	-6.76810312271118	0
D01	-2.80247020721436	63.2943344116211	-12.5465831756592	0
D02	-6.83006000518799	68.1056671142578	-6.25259876251221	0
D03	-19.7183837890625	65.1291351318359	1.50209546089172	0
D04	-31.9035606384277	52.8656616210938	2.06358647346497	0
D05	-37.4293594360352	53.8600387573242	6.62411642074585	0
D06	-39.0056533813477	44.0175094604492	16.6286602020264	0
D07	-43.6796646118164	36.8591346740723	24.0292549133301	0
D08	-47.888240814209	27.6932125091553	32.5426368713379	0
E01	-14.956169128418	65.4457931518555	-8.09255313873291	0
E02	-27.795726776123	59.0359916687012	-5.95819854736328	0
E03	-31.5788516998291	54.5703125	-4.2098217010498	0
E04	-40.1668167114258	53.6295585632324	3.18389678001404	0
E05	-40.1886100769043	39.2012214660645	15.9516878128052	0
E06	-44.5328903198242	35.9242248535156	21.8127498626709	0
E07	-56.1771430969238	23.7474880218506	16.3340644836426	0
E08	-50.4435005187988	12.8831806182861	24.7398929595947	0
E09	-22.001636505127	55.8746871948242	-16.8931350708008	0
E10	-31.3375911712646	60.232421875	-11.5040416717529	0
E11	-36.7499313354492	55.8948860168457	-11.1687669754028	0
E12	-43.814022064209	49.0195198059082	-5.55796337127686	0
E13	-52.001220703125	35.1754837036133	-4.27427864074707	0
E14	-53.0669746398926	32.8434600830078	3.35540723800659	0
E15	-57.447681427002	20.1244812011719	15.8349351882935	0
E16	-62.7517013549805	3.82256007194519	19.1506996154785	0
F01	-14.1030826568604	27.8381595611572	-25.9247379302979	0
F02	-18.7307014465332	27.8442783355713	-24.6745853424072	0
F03	-23.0566158294678	36.1118469238281	-18.100772857666	0
F04	-35.8379287719727	40.4322128295898	-14.3390092849731	0
G01	-14.6883544921875	21.2791423797607	-25.3378353118896	0
G02	-20.0969581604004	20.5148429870605	-21.9922637939453	0
G03	-30.3361263275146	25.1699485778809	-23.3590278625488	0
G04	-39.8453712463379	27.5692043304443	-18.2176952362061	0
H01	-33.8948287963867	-4.47293424606323	-46.6784362792969	0
H02	-33.873966217041	3.5147430896759	-43.4941024780273	0
H03	-28.384786605835	13.7661533355713	-42.6240234375	0
H04	-35.8411636352539	20.2163581848145	-36.6509094238281	0
H05	-42.9978256225586	19.207691192627	-31.0943202972412	0
H06	-47.7557601928711	16.567455291748	-20.8700504302979	0
H07	-52.5766372680664	10.7121610641479	-11.7539091110229	0
H08	-60.2725639343262	3.15545177459717	-6.53498983383179	0
I01	-33.0470199584961	13.1409244537354	-42.620979309082	0
I02	-51.405158996582	8.10595035552979	-31.3942165374756	0
I03	-52.8004341125488	10.8742809295654	-22.6309928894043	0
I04	-57.5528373718262	6.48375940322876	-15.0566129684448	0
I05	-61.5657844543457	-10.5077238082886	-4.52678155899048	0
I06	-62.8798713684082	-6.91345500946045	-0.622918963432312	0
J01	-42.4934196472168	-14.1698055267334	-40.2052307128906	0
J02	-50.8131828308105	-20.9149570465088	-37.0216445922852	0
J03	-56.8141670227051	-27.3782920837402	-33.317310333252	0
J04	-66.0395965576172	-16.794261932373	-18.653881072998	0
K01	-41.1141662597656	-33.5825500488281	-25.5823917388916	0
K02	-48.7726440429688	-31.8145656585693	-29.9515113830566	0
K03	-56.1769905090332	-34.2580337524414	-31.066858291626	0
K04	-64.0580673217773	-22.4044818878174	-19.9678592681885	0
L01	-41.2898101806641	-46.5598678588867	-20.3599224090576	0
L02	-57.3598403930664	-47.0259475708008	-24.1968841552734	0
L03	-57.1904830932617	-39.3384017944336	-24.4586029052734	0
L04	-55.5839920043945	-30.9493007659912	-19.240198135376	0
