name	x	y	z	size
A1	-34.0004768371582	-32.8260955810547	-28.6455535888672	0
A2	-29.573034286499	-32.2131576538086	-25.9571228027344	0
A3	-18.3217620849609	-20.6072998046875	-23.878625869751	0
A4	-17.735538482666	-6.44693756103516	-31.3054809570312	0
A5	-23.9404125213623	5.71949672698975	-45.3401527404785	0
A6	-31.17165184021	5.64423656463623	-44.0567855834961	0
A7	-35.5372734069824	4.91135883331299	-41.0298614501953	0
A8	-41.4790191650391	18.950984954834	-35.1322555541992	0
A9	-18.5886268615723	-3.63622808456421	-32.3274955749512	0
A10	-16.8832244873047	-7.65474414825439	-27.9911079406738	0
A11	-17.7433052062988	-14.8004274368286	-31.3302707672119	0
A12	-29.1389827728271	-14.6007022857666	-34.470832824707	0
A13	-40.4654006958008	-12.8609342575073	-37.2482528686523	0
A14	-44.6284942626953	-12.4517221450806	-43.2255172729492	0
A15	-14.5789155960083	-67.7379531860352	-6.11745357513428	0
A16	-16.9092311859131	-62.6157035827637	-7.44838857650757	0
A17	-26.6425266265869	-60.6215744018555	-13.3895721435547	0
A18	-25.6409301757812	-55.3568840026855	-17.9906558990479	0
A19	-36.3451957702637	-46.3850173950195	-24.5899543762207	0
A20	-43.8943786621094	-41.8879089355469	-21.3772430419922	0
A21	-9.4738712310791	-81.3466033935547	-7.71574020385742	0
A22	-16.3861103057861	-78.8191528320312	-13.66224193573	0
A23	-19.4766883850098	-79.1494979858398	-10.4722385406494	0
A24	-36.1097793579102	-68.8087844848633	-19.0468921661377	0
A25	-46.4048156738281	-65.0719833374023	-19.1097049713135	0
A26	-44.9930305480957	-55.6913261413574	-19.3006076812744	0
A27	-50.8530807495117	-45.2830352783203	-26.9625606536865	0
A28	-55.1138000488281	-38.8426475524902	-30.6263065338135	0
A29	-11.2088737487793	-86.0169906616211	3.02730107307434	0
A30	-2.36895942687988	-90.668212890625	-5.69685220718384	0
A31	-11.6549482345581	-90.4958419799805	-10.567946434021	0
A32	-16.7010765075684	-87.7136154174805	-10.8324785232544	0
A33	-30.526575088501	-86.1360931396484	-19.3787536621094	0
A34	-35.8295364379883	-84.3877639770508	-19.1209602355957	0
A35	-42.7293395996094	-72.7953491210938	-14.0477418899536	0
A36	-44.5575942993164	-78.3462142944336	-7.13880681991577	0
A37	-57.349365234375	-62.4685363769531	-1.26417660713196	0
A38	-50.8910751342773	-63.1018600463867	3.92187118530273	0
A39	-15.1186418533325	18.6803951263428	-25.2516498565674	0
A40	-33.6872940063477	19.1584205627441	-23.4202690124512	0
