name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
A4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
A8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B5	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
B6	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	parietal	trained
B7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
B8	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
C1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
C2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
C3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
C4	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
C5	ECOG	µV	0.08	300	1000	not applied	preserved	spiking	L	central	other
C6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
C7	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
C8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
D1	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
D2	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
D3	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
D4	SEEG	µV	0.08	300	1000	not applied	n/a	spiking	n/a	n/a	unused
D5	SEEG	µV	0.08	300	1000	not applied	n/a	spiking	n/a	n/a	unused
D6	SEEG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
E1	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
E2	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
E3	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
E4	SEEG	µV	0.08	300	1000	not applied	n/a	spiking	n/a	n/a	unused
E5	SEEG	µV	0.08	300	1000	not applied	n/a	spiking	n/a	n/a	unused
E6	SEEG	µV	0.08	300	1000	not applied	resected	spiking	L	parietal	other
F1	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
F2	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
F3	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
F4	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
F5	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
F6	SEEG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
G1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
G2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
G3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
G4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
G5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
G6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
G7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
G8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
H1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
H2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
H3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
H4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
H5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
H6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
H7	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
H8	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
I1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
I2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
I3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
I4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
I5	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
I6	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
J1	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
J2	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
J3	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
J4	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
J5	SEEG	µV	0.08	300	1000	not applied	n/a	normal	n/a	n/a	trained
J6	SEEG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
K01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
K02	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
K03	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
K04	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
K05	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
K06	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
K07	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
K08	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
K09	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
K10	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
L01	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L02	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L03	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L04	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L05	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
L06	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L07	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L08	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L09	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
L10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
M1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
M2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
M3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
M4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
N1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
N2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
N3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
N4	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	parietal	unused
O1	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
O2	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
O3	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	occipital	trained
O4	ECOG	µV	0.08	300	1000	not applied	resected	normal	L	parietal	trained
