name	x	y	z	size
A1	-25.6992073059082	14.0482759475708	-41.3255386352539	0
A2	-34.5031394958496	19.432689666748	-38.437744140625	0
A3	-44.8932266235352	12.3024187088013	-36.572338104248	0
A4	-53.1059341430664	5.43906927108765	-28.4481143951416	0
A5	-50.6432304382324	0.752236485481262	-23.4511604309082	0
A6	-33.4340133666992	2.26022839546204	-44.9453964233398	0
A7	-37.3074035644531	-1.38478684425354	-46.4403991699219	0
A8	-48.4126777648926	1.54276371002197	-36.7304954528809	0
A9	-56.6496887207031	0.516793608665466	-33.530834197998	0
A10	-63.0023498535156	-8.05504131317139	-21.5813961029053	0
A11	-67.8826751708984	-22.2384986877441	-16.124210357666	0
A12	-62.7463188171387	-10.9932441711426	-3.6144642829895	0
A13	-62.0201835632324	-2.12543797492981	-2.89667081832886	0
A14	-58.4649124145508	5.85158920288086	-7.66086101531982	0
A15	-53.6611633300781	12.4160795211792	2.37668943405151	0
A16	-67.9519958496094	-31.0683174133301	-13.7746028900146	0
A17	-65.5516891479492	-15.2775173187256	-1.58805632591248	0
A18	-66.0997619628906	-10.6593990325928	13.16224193573	0
A19	-60.9833755493164	-3.64000630378723	11.7324447631836	0
A20	-57.1121597290039	15.0824375152588	16.1395950317383	0
A21	-16.2544288635254	-14.9026184082031	-26.2261772155762	0
A22	-34.4710311889648	-21.1602592468262	-31.1017513275146	0
A23	-37.7173767089844	-21.1647129058838	-28.3351192474365	0
A24	-48.2783317565918	-22.1050262451172	-35.058479309082	0
A25	-55.6680183410645	-22.8146705627441	-35.3371505737305	0
A26	-65.0907211303711	-27.3402004241943	-19.467794418335	0
B1	-34.7579612731934	-14.8271179199219	-22.0620231628418	0
B2	-37.8408584594727	-22.9890842437744	-16.8982734680176	0
B3	-37.5184097290039	-28.5801124572754	-15.0048236846924	0
B4	-37.9114608764648	-33.8480033874512	-11.3546390533447	0
B5	-35.411678314209	-36.1304473876953	-10.0468235015869	0
B6	-36.3354530334473	-15.8806056976318	-19.4205646514893	0
B7	-33.4732322692871	-18.9783668518066	-16.7398414611816	0
B8	-29.1370735168457	-19.4462585449219	-13.0915756225586	0
B9	-20.325756072998	-28.8247528076172	-8.11168384552002	0
B10	-15.2125883102417	-28.1232242584229	-7.67606449127197	0
B11	-32.6864051818848	-41.1489868164062	-11.3384132385254	0
B12	-29.9473266601562	-47.9346237182617	-7.15639972686768	0
B13	-17.4941596984863	-56.1527519226074	-10.00803565979	0
B14	-10.0410928726196	-58.0202407836914	-5.04184818267822	0
B15	0.553665041923523	-39.0289077758789	6.66396236419678	0
B16	-22.6844139099121	-30.9954566955566	-10.5810775756836	0
B17	-16.4908485412598	-33.1530570983887	-13.1188230514526	0
B18	-17.7611427307129	-50.4333419799805	-11.3708772659302	0
B19	-7.99395847320557	-31.3994808197021	4.92023134231567	0
B20	-5.46559953689575	-33.0100059509277	9.3704833984375	0
B21	-34.9227981567383	3.64907312393188	-42.6066093444824	0
B22	-32.5502815246582	-11.0825729370117	-36.261360168457	0
B23	-37.9348526000977	-12.0090589523315	-31.3696136474609	0
B24	-31.5652275085449	-27.9374046325684	-22.6348972320557	0
B25	-32.7668685913086	-38.321849822998	-13.9903974533081	0
B26	-33.9627571105957	-39.9943313598633	-12.5519618988037	0
